superkingdom,RefSeq_number
Bacteria,GCF_000300005.1_ASM30000v1
Bacteria,GCF_000300235.2_ASM30023v2
Bacteria,GCF_000304455.1_CCh_cEper1
Bacteria,GCF_000305775.1_ASM30577v1
Bacteria,GCF_000305935.1_ASM30593v1
Bacteria,GCF_000306785.1_ASM30678v1
Bacteria,GCF_000307105.1_ASM30710v1
Bacteria,GCF_000307165.1_ASM30716v1
Bacteria,GCF_000309885.1_ASM30988v1
Bacteria,GCF_000316515.1_ASM31651v1
Bacteria,GCF_000317105.1_ASM31710v1
Bacteria,GCF_000317125.1_ASM31712v1
Bacteria,GCF_000317145.1_ASM31714v1
Bacteria,GCF_000317475.1_ASM31747v1
Bacteria,GCF_000317515.1_ASM31751v1
Bacteria,GCF_000317535.1_ASM31753v1
Bacteria,GCF_000317575.1_ASM31757v1
Bacteria,GCF_000317615.1_ASM31761v1
Bacteria,GCF_000317635.1_ASM31763v1
Bacteria,GCF_000317695.1_ASM31769v1
Bacteria,GCF_000317835.1_ASM31783v1
Bacteria,GCF_000317895.1_ASM31789v1
Bacteria,GCF_000317975.2_ASM31797v2
Bacteria,GCF_000317995.1_ASM31799v1
Bacteria,GCF_000319185.1_ASM31918v1
Bacteria,GCF_000319575.2_ASM31957v2
Bacteria,GCF_000321415.2_ASM32141v2
Bacteria,GCF_000325705.1_ASM32570v1
