AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000015765.1	410358	GCF_000015765.1	ASM1576v1	Methanocorpusculum labreanum Z (euryarchaeotes)	83984	Methanocorpusculum labreanum	GCA_000015765.1GCF_000015765.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum
GCF_004799625.1	413811	GCF_004799625.1	ASM479962v1	Haloterrigena jeotgali (euryarchaeotes)	413811	Haloterrigena jeotgali	GCA_004799625.1GCF_004799625.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena jeotgali
GCF_000015145.1	415426	GCF_000015145.1	ASM1514v1	Hyperthermus butylicus DSM 5456 (crenarchaeotes)	54248	Hyperthermus butylicus	GCA_000015145.1GCF_000015145.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus
GCF_000022205.1	416348	GCF_000022205.1	ASM2220v1	Halorubrum lacusprofundi ATCC 49239 (euryarchaeotes)	2247	Halorubrum lacusprofundi	GCA_000022205.1GCF_000022205.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum lacusprofundi
GCF_003201835.1	41673	GCF_003201835.1	ASM320183v1	Acidianus brierleyi (crenarchaeotes)	41673	Acidianus brierleyi	GCA_003201835.1GCF_003201835.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus brierleyi
GCF_000017185.1	419665	GCF_000017185.1	ASM1718v1	Methanococcus aeolicus Nankai-3 (euryarchaeotes)	42879	Methanococcus aeolicus	GCA_000017185.1GCF_000017185.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus aeolicus
GCF_000022485.1	419942	GCF_000022485.1	ASM2248v1	Sulfolobus islandicus Y.N.15.51 (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000022485.1GCF_000022485.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_000016525.1	420247	GCF_000016525.1	ASM1652v1	Methanobrevibacter smithii ATCC 35061 (euryarchaeotes)	2173	Methanobrevibacter smithii	GCA_000016525.1GCF_000016525.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
GCF_000017225.1	426368	GCF_000017225.1	ASM1722v1	Methanococcus maripaludis C7 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000017225.1GCF_000017225.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000022405.1	427317	GCF_000022405.1	ASM2240v1	Sulfolobus islandicus M.14.25 (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000022405.1GCF_000022405.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_000022425.1	427318	GCF_000022425.1	ASM2242v1	Sulfolobus islandicus M.16.27 (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000022425.1GCF_000022425.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_000022385.1	429572	GCF_000022385.1	ASM2238v1	Sulfolobus islandicus L.S.2.15 (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000022385.1GCF_000022385.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_001266655.1	43687	GCF_001266655.1	ASM126665v1	Metallosphaera sedula (crenarchaeotes)	43687	Metallosphaera sedula	GCA_001266655.1GCF_001266655.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
GCF_001266715.1	43687	GCF_001266715.1	ASM126671v1	Metallosphaera sedula (crenarchaeotes)	43687	Metallosphaera sedula	GCA_001266715.1GCF_001266715.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
GCF_001266675.1	43687	GCF_001266675.1	ASM126667v1	Metallosphaera sedula (crenarchaeotes)	43687	Metallosphaera sedula	GCA_001266675.1GCF_001266675.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
GCF_001266735.1	43687	GCF_001266735.1	ASM126673v1	Metallosphaera sedula (crenarchaeotes)	43687	Metallosphaera sedula	GCA_001266735.1GCF_001266735.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
GCF_001266695.1	43687	GCF_001266695.1	ASM126669v1	Metallosphaera sedula (crenarchaeotes)	43687	Metallosphaera sedula	GCA_001266695.1GCF_001266695.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
GCF_000022465.1	439386	GCF_000022465.1	ASM2246v1	Sulfolobus islandicus Y.G.57.14 (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000022465.1GCF_000022465.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_000025665.1	439481	GCF_000025665.1	ASM2566v1	Aciduliprofundum boonei T469 (euryarchaeotes)	379547	Aciduliprofundum boonei	GCA_000025665.1GCF_000025665.1identical	Archaea	Euryarchaeota	NA	NA	NA	Aciduliprofundum	Aciduliprofundum boonei
GCF_000018485.1	444158	GCF_000018485.1	ASM1848v1	Methanococcus maripaludis C6 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000018485.1GCF_000018485.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000017945.1	453591	GCF_000017945.1	ASM1794v1	Ignicoccus hospitalis KIN4/I (crenarchaeotes)	160233	Ignicoccus hospitalis	GCA_000017945.1GCF_000017945.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
GCF_000006175.1	456320	GCF_000006175.1	ASM617v2	Methanococcus voltae A3 (euryarchaeotes)	2188	Methanococcus voltae	GCA_000006175.2GCF_000006175.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae
GCF_000017625.1	456442	GCF_000017625.1	ASM1762v1	Methanoregula boonei 6A8 (euryarchaeotes)	358766	Methanoregula boonei	GCA_000017625.1GCF_000017625.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei
GCF_000172995.2	469382	GCF_000172995.2	ASM17299v2	Halogeometricum borinquense DSM 11551 (euryarchaeotes)	60847	Halogeometricum borinquense	GCA_000172995.2GCF_000172995.2identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense
GCF_000069025.1	478009	GCF_000069025.1	ASM6902v1	Halobacterium salinarum R1 (euryarchaeotes)	2242	Halobacterium salinarum	GCA_000069025.1GCF_000069025.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
GCF_000023965.1	485914	GCF_000023965.1	ASM2396v1	Halomicrobium mukohataei DSM 12286 (euryarchaeotes)	57705	Halomicrobium mukohataei	GCA_000023965.1GCF_000023965.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei
GCF_000020905.1	490899	GCF_000020905.1	ASM2090v1	Desulfurococcus amylolyticus 1221n (crenarchaeotes)	94694	Desulfurococcus amylolyticus	GCA_000020905.1GCF_000020905.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus
GCF_002214585.1	49899	GCF_002214585.1	ASM221458v1	Thermococcus profundus (euryarchaeotes)	49899	Thermococcus profundus	GCA_002214585.1GCF_002214585.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus profundus
GCF_000023945.1	519442	GCF_000023945.1	ASM2394v1	Halorhabdus utahensis DSM 12940 (euryarchaeotes)	146826	Halorhabdus utahensis	GCA_000023945.1GCF_000023945.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus utahensis
GCF_000021965.1	521011	GCF_000021965.1	ASM2196v1	Methanosphaerula palustris E1-9c (euryarchaeotes)	475088	Methanosphaerula palustris	GCA_000021965.1GCF_000021965.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris
GCF_000306765.2	523841	GCF_000306765.2	ASM30676v2	Haloferax mediterranei ATCC 33500 (euryarchaeotes)	2252	Haloferax mediterranei	GCA_000306765.2GCF_000306765.2identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei
GCF_005406325.1	523841	GCF_005406325.1	ASM540632v1	Haloferax mediterranei ATCC 33500 (euryarchaeotes)	2252	Haloferax mediterranei	GCA_005406325.1GCF_005406325.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei
GCF_000969885.1	523844	GCF_000969885.1	ASM96988v1	Methanosarcina thermophila TM-1 (euryarchaeotes)	2210	Methanosarcina thermophila	GCA_000969885.1GCF_000969885.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina thermophila
GCF_000166095.1	523846	GCF_000166095.1	ASM16609v1	Methanothermus fervidus DSM 2088 (euryarchaeotes)	2180	Methanothermus fervidus	GCA_000166095.1GCF_000166095.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus
GCF_000246985.2	523849	GCF_000246985.2	ASM24698v3	Thermococcus litoralis DSM 5473 (euryarchaeotes)	2265	Thermococcus litoralis	GCA_000246985.3GCF_000246985.2identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis
GCF_000018365.1	523850	GCF_000018365.1	ASM1836v1	Thermococcus onnurineus NA1 (euryarchaeotes)	342948	Thermococcus onnurineus	GCA_000018365.1GCF_000018365.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus
GCF_000215995.1	529709	GCF_000215995.1	ASM21599v1	Pyrococcus yayanosii CH1 (euryarchaeotes)	1008460	Pyrococcus yayanosii	GCA_000215995.1GCF_000215995.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus yayanosii
GCF_001592435.1	53952	GCF_001592435.1	ASM159243v1	Thermococcus peptonophilus (euryarchaeotes)	53952	Thermococcus peptonophilus	GCA_001592435.1GCF_001592435.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus peptonophilus
GCF_002214465.1	54077	GCF_002214465.1	ASM221446v1	Thermococcus barossii (euryarchaeotes)	54077	Thermococcus barossii	GCA_002214465.1GCF_002214465.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barossii
GCF_002214605.1	54262	GCF_002214605.1	ASM221460v1	Thermococcus chitonophagus (euryarchaeotes)	54262	Thermococcus chitonophagus	GCA_002214605.1GCF_002214605.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus chitonophagus
GCF_900012635.1	54262	GCF_900012635.1	Pyrococcus chitonophagus genome sequence	Thermococcus chitonophagus (euryarchaeotes)	54262	Thermococcus chitonophagus	GCA_900012635.1GCF_900012635.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus chitonophagus
