AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000237865.1	768065	GCF_000237865.1	ASM23786v1	Haloquadratum walsbyi C23 (euryarchaeotes)	293091	Haloquadratum walsbyi	GCA_000237865.1GCF_000237865.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
GCF_000231015.2	768672	GCF_000231015.2	ASM23101v3	Desulfurococcus amylolyticus DSM 16532 (crenarchaeotes)	94694	Desulfurococcus amylolyticus	GCA_000231015.3GCF_000231015.2identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus
GCF_000253055.1	768679	GCF_000253055.1	ASM25305v1	Thermoproteus tenax Kra 1 (crenarchaeotes)	2271	Thermoproteus tenax	GCA_000253055.1GCF_000253055.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus tenax
GCF_000196895.1	795797	GCF_000196895.1	ASM19689v1	Halalkalicoccus jeotgali B3 (euryarchaeotes)	413810	Halalkalicoccus jeotgali	GCA_000196895.1GCF_000196895.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	Halalkalicoccus jeotgali
GCF_001027005.1	796385	GCF_001027005.1	ASM102700v1	Methanosarcina barkeri CM1 (euryarchaeotes)	2208	Methanosarcina barkeri	GCA_001027005.1GCF_001027005.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
GCF_000217715.1	797210	GCF_000217715.1	ASM21771v1	Halopiger xanaduensis SH-6 (euryarchaeotes)	387343	Halopiger xanaduensis	GCA_000217715.1GCF_000217715.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger	Halopiger xanaduensis
GCF_000517625.1	797299	GCF_000517625.1	ASM51762v1	Halostagnicola larsenii XH-48 (euryarchaeotes)	353800	Halostagnicola larsenii	GCA_000517625.1GCF_000517625.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halostagnicola	Halostagnicola larsenii
GCF_000230735.2	797303	GCF_000230735.2	ASM23073v3	Natrinema pellirubrum DSM 15624 (euryarchaeotes)	69525	Natrinema pellirubrum	GCA_000230735.3GCF_000230735.2identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema pellirubrum
GCF_000230715.2	797304	GCF_000230715.2	ASM23071v3	Natronobacterium gregoryi SP2 (euryarchaeotes)	44930	Natronobacterium gregoryi	GCA_000230715.3GCF_000230715.2identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronobacterium	Natronobacterium gregoryi
GCF_000145295.1	79929	GCF_000145295.1	ASM14529v1	Methanothermobacter marburgensis str. Marburg (euryarchaeotes)	145263	Methanothermobacter marburgensis	GCA_000145295.1GCF_000145295.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis
